id,user_id,asset_id,quantity,price,side,created_at
1,user1,BTC,1.0,30000,BUY,2025-06-23T10:00:00Z
2,user2,BTC,1.0,31000,SELL,2025-06-23T10:00:01Z
3,user3,BTC,0.5,29000,BUY,2025-06-23T10:00:02Z
4,user1,ETH,2.0,2000,SELL,2025-06-23T10:00:03Z
5,user2,ETH,1.0,1900,BUY,2025-06-23T10:00:04Z
6,user3,BTC,1.5,30500,SELL,2025-06-23T10:00:05Z
7,user1,BTC,0.5,29000,SELL,2025-06-23T10:00:06Z
8,user2,ETH,1.0,2000,BUY,2025-06-23T10:00:07Z
9,user3,ETH,1.5,1950,SELL,2025-06-23T10:00:08Z
10,user1,BTC,1.0,29500,BUY,2025-06-23T10:00:09Z
11,user2,BTC,1.0,30500,SELL,2025-06-23T10:00:10Z
12,user3,ETH,1.0,1920,BUY,2025-06-23T10:00:11Z
13,user1,ETH,1.0,2000,SELL,2025-06-23T10:00:12Z
14,user2,BTC,0.5,30000,BUY,2025-06-23T10:00:13Z
15,user3,BTC,0.5,29000,SELL,2025-06-23T10:00:14Z
16,user1,ETH,1.0,1980,BUY,2025-06-23T10:00:15Z
17,user2,ETH,1.5,1980,SELL,2025-06-23T10:00:16Z
18,user3,BTC,0.5,30000,BUY,2025-06-23T10:00:17Z
19,user1,BTC,1.0,29500,SELL,2025-06-23T10:00:18Z
20,user2,ETH,1.0,1920,SELL,2025-06-23T10:00:19Z
21,user3,ETH,1.0,1920,BUY,2025-06-23T10:00:20Z
22,user1,BTC,0.5,29500,BUY,2025-06-23T10:00:21Z
23,user2,BTC,1.0,30500,SELL,2025-06-23T10:00:22Z
24,user3,ETH,2.0,1900,BUY,2025-06-23T10:00:23Z
25,user1,ETH,2.0,2000,SELL,2025-06-23T10:00:24Z
26,user2,BTC,0.5,29500,SELL,2025-06-23T10:00:25Z
27,user3,BTC,1.0,29500,BUY,2025-06-23T10:00:26Z
28,user1,ETH,1.0,1920,SELL,2025-06-23T10:00:27Z
29,user2,ETH,1.0,1920,BUY,2025-06-23T10:00:28Z
30,user3,BTC,0.5,29000,SELL,2025-06-23T10:00:29Z
